 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1114,041172025_PRAS_DF4x_10x_Q4.jpg (red),116,796.198,1205.828,0.948,1.250,0.800,0.935
1115,041172025_PRAS_DF4x_10x_Q4.jpg (red),53,467.670,1205.066,0.626,1.359,0.736,0.797
1116,041172025_PRAS_DF4x_10x_Q4.jpg (red),7,839.929,1202.786,0.943,1.936,0.517,0.933
1117,041172025_PRAS_DF4x_10x_Q4.jpg (red),37,241.797,1206.041,0.948,1.545,0.647,0.892
1118,041172025_PRAS_DF4x_10x_Q4.jpg (red),22,477.773,1204.818,0.897,1.276,0.783,0.786
1119,041172025_PRAS_DF4x_10x_Q4.jpg (red),7,1181.929,1202.929,0.800,2.123,0.471,0.875
1120,041172025_PRAS_DF4x_10x_Q4.jpg (red),41,1546.622,1205.207,0.976,1.481,0.675,0.911
1121,041172025_PRAS_DF4x_10x_Q4.jpg (red),30,1299.700,1210.867,0.811,1.729,0.578,0.857
1122,041172025_PRAS_DF4x_10x_Q4.jpg (red),37,2257.824,1214.662,0.855,1.730,0.578,0.925
1123,041172025_PRAS_DF4x_10x_Q4.jpg (red),101,1559.708,1218.064,0.323,2.176,0.460,0.724
1124,041172025_PRAS_DF4x_10x_Q4.jpg (red),19,1659.921,1213.447,0.624,1.531,0.653,0.691
1125,041172025_PRAS_DF4x_10x_Q4.jpg (red),41,1048.890,1217.988,0.305,1.322,0.756,0.621
1126,041172025_PRAS_DF4x_10x_Q4.jpg (red),41,1547.500,1218.402,0.740,2.298,0.435,0.812
1127,041172025_PRAS_DF4x_10x_Q4.jpg (red),65,2049.669,1218.900,0.871,1.689,0.592,0.878
1128,041172025_PRAS_DF4x_10x_Q4.jpg (red),112,2126.125,1220.696,0.650,1.453,0.688,0.789
1129,041172025_PRAS_DF4x_10x_Q4.jpg (red),29,1765.431,1218.224,0.868,1.692,0.591,0.906
1130,041172025_PRAS_DF4x_10x_Q4.jpg (red),58,1534.948,1219.655,0.517,3.575,0.280,0.806
1131,041172025_PRAS_DF4x_10x_Q4.jpg (red),93,1750.500,1224.231,0.871,1.357,0.737,0.894
1132,041172025_PRAS_DF4x_10x_Q4.jpg (red),37,1133.932,1224.068,1.000,1.247,0.802,0.902
